('2017-02-03', ('22:57:00', 2))
('2017-05-24', ('09:52:00', 3))
('2017-05-24', ('20:23:00', 4))
('2017-05-25', ('14:32:00', 3))
('2017-05-25', ('22:53:00', 9))
('2017-05-26', ('19:38:00', 1))
('2017-05-27', ('14:27:00', 4))
('2017-05-27', ('14:48:00', 1))
('2017-05-27', ('18:58:00', 7))
('2017-05-29', ('09:37:00', 4))
('2017-05-29', ('10:47:00', 1))
('2017-05-29', ('10:57:00', 1))
('2017-05-29', ('22:38:00', 8))
('2017-05-30', ('07:37:00', 2))
('2017-05-30', ('08:57:00', 1))
('2017-05-31', ('08:37:00', 5))
('2017-05-31', ('18:48:00', 1))
('2017-05-31', ('19:48:00', 2))
('2017-06-01', ('09:32:00', 1))
('2017-06-02', ('19:48:00', 3))
('2017-06-02', ('21:38:00', 1))
('2017-06-02', ('22:18:00', 11))
('2017-06-02', ('23:18:00', 6))
('2017-06-03', ('08:27:00', 3))
('2017-06-03', ('15:13:00', 2))
('2017-06-03', ('20:53:00', 22))
('2017-06-03', ('23:28:00', 6))
('2017-06-04', ('13:33:00', 8))
('2017-06-04', ('14:23:00', 6))
('2017-06-04', ('15:53:00', 2))
('2017-06-04', ('16:13:00', 1))
('2017-06-04', ('16:28:00', 1))
('2017-06-04', ('20:03:00', 33))
('2017-06-06', ('09:37:00', 1))
('2017-06-06', ('13:13:00', 1))
('2017-06-06', ('13:58:00', 1))
('2017-06-06', ('22:18:00', 9))
('2017-06-09', ('15:38:00', 3))
('2017-06-13', ('22:33:00', 9))
('2017-06-14', ('08:37:00', 2))
('2017-06-22', ('19:38:00', 2))
('2017-06-24', ('08:33:00', 10))
('2017-06-24', ('09:38:00', 2))
('2017-06-24', ('10:38:00', 9))
('2017-06-24', ('11:28:00', 2))
('2017-06-24', ('11:43:00', 2))
('2017-06-24', ('20:58:00', 11))
('2017-06-27', ('19:13:00', 2))
('2017-06-28', ('08:33:00', 3))
('2017-06-28', ('14:53:00', 1))
('2017-06-29', ('08:43:00', 1))
('2017-06-29', ('09:38:00', 5))
('2017-06-30', ('12:58:00', 5))
('2017-07-01', ('11:53:00', 1))
('2017-07-02', ('13:03:00', 1))
('2017-07-05', ('08:43:00', 1))
('2017-07-05', ('21:18:00', 4))
('2017-07-05', ('22:13:00', 15))
('2017-07-06', ('22:08:00', 6))
('2017-07-06', ('22:48:00', 1))
('2017-07-09', ('14:28:00', 1))
('2017-07-10', ('08:38:00', 7))
('2017-07-10', ('09:48:00', 2))
('2017-07-10', ('22:23:00', 20))
('2017-07-12', ('08:43:00', 3))
('2017-07-12', ('10:43:00', 3))
('2017-07-13', ('09:48:00', 3))
('2017-07-13', ('11:48:00', 1))
('2017-07-15', ('17:28:00', 1))
('2017-07-15', ('17:43:00', 1))
('2017-07-15', ('18:08:00', 4))
('2017-07-15', ('19:43:00', 1))
('2017-07-15', ('19:53:00', 13))
('2017-07-15', ('21:18:00', 5))
('2017-07-16', ('08:43:00', 11))
('2017-07-16', ('17:03:00', 2))
('2017-07-16', ('18:53:00', 13))
('2017-07-17', ('09:03:00', 2))
('2017-07-17', ('12:28:00', 2))
('2017-07-18', ('08:33:00', 2))
('2017-07-18', ('10:08:00', 4))
('2017-07-18', ('21:13:00', 6))
('2017-07-18', ('22:03:00', 11))
('2017-07-19', ('08:43:00', 4))
('2017-07-19', ('21:58:00', 1))
('2017-07-19', ('22:18:00', 21))
('2017-07-20', ('06:03:00', 3))
('2017-07-20', ('08:28:00', 12))
('2017-07-20', ('13:18:00', 4))
('2017-07-21', ('08:43:00', 1))
('2017-07-22', ('10:43:00', 5))
('2017-07-22', ('11:13:00', 8))
('2017-07-22', ('13:43:00', 1))
('2017-07-22', ('15:38:00', 3))
('2017-07-22', ('21:33:00', 6))
('2017-07-23', ('09:48:00', 3))
('2017-07-23', ('10:13:00', 3))
('2017-07-23', ('14:58:00', 2))
('2017-07-24', ('08:33:00', 2))
('2017-07-24', ('11:08:00', 1))
('2017-07-25', ('08:38:00', 1))
('2017-07-25', ('20:08:00', 2))
('2017-07-26', ('08:43:00', 3))
('2017-07-26', ('16:48:00', 1))
('2017-07-26', ('17:18:00', 1))
('2017-07-26', ('20:33:00', 1))
('2017-07-27', ('08:43:00', 3))
('2017-07-28', ('08:33:00', 4))
('2017-07-28', ('09:38:00', 3))
('2017-07-29', ('12:43:00', 6))
('2017-07-29', ('13:53:00', 4))
('2017-07-29', ('19:03:00', 16))
('2017-07-29', ('21:33:00', 9))
('2017-07-29', ('22:43:00', 4))
('2017-07-29', ('23:18:00', 1))
('2017-07-29', ('23:24:00', 1))
('2017-07-30', ('10:33:00', 7))
('2017-07-30', ('14:03:00', 16))
('2017-07-30', ('16:38:00', 1))
('2017-07-30', ('18:28:00', 5))
('2017-07-30', ('19:03:00', 20))
('2017-07-30', ('20:48:00', 3))
('2017-07-30', ('21:18:00', 1))
('2017-07-30', ('22:33:00', 1))
('2017-08-01', ('08:28:00', 1))
('2017-08-02', ('08:53:00', 1))
('2017-08-02', ('09:03:00', 1))
('2017-08-04', ('20:18:00', 4))
('2017-08-04', ('21:04:00', 36))
('2017-08-05', ('06:03:00', 90))
('2017-08-06', ('19:53:00', 12))
('2017-08-10', ('08:48:00', 2))
('2017-08-11', ('08:48:00', 3))
('2017-08-11', ('19:39:00', 1))
('2017-08-12', ('15:38:00', 1))
('2017-08-12', ('15:48:00', 2))
('2017-08-16', ('19:23:00', 5))
('2017-08-19', ('15:23:00', 7))
('2017-08-19', ('16:58:00', 1))
('2017-08-20', ('14:03:00', 8))
('2017-08-22', ('08:33:00', 1))
('2017-08-23', ('08:53:00', 5))
('2017-08-23', ('10:48:00', 6))
('2017-08-24', ('08:48:00', 1))
('2017-08-25', ('08:38:00', 1))
('2017-08-25', ('09:33:00', 4))
('2017-08-25', ('17:23:00', 1))
('2017-08-26', ('12:33:00', 1))
('2017-08-26', ('12:43:00', 8))
('2017-08-26', ('16:03:00', 7))
('2017-08-26', ('16:48:00', 5))
('2017-08-26', ('17:54:00', 2))
('2017-08-26', ('19:24:00', 3))
('2017-08-26', ('20:39:00', 4))
('2017-08-27', ('16:38:00', 4))
('2017-08-27', ('18:24:00', 19))
('2017-08-27', ('20:24:00', 6))
('2017-08-28', ('08:28:00', 1))
('2017-08-29', ('08:58:00', 2))
('2017-08-31', ('08:43:00', 12))
('2017-08-31', ('11:13:00', 8))
('2017-08-31', ('12:13:00', 3))
('2017-08-31', ('12:33:00', 12))


